site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,brick,0.345,concrete,0.15,mineral_wool,0.1,north,1.5,1.5,0.75,2.6,36.67,38.15,0.0,17.112
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,rammed_earth,0.45,gi_sheet,0.002,mineral_wool,0.05,east,1.8,1.2,0.45,5.8,36.731,38.382,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.23,brick,0.115,mineral_wool,0.025,south,0.6,0.6,0.65,3.5,37.451,39.653,0.0,17.12
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,brick,0.345,gi_sheet,0.002,mineral_wool,0.025,south,1.5,0.9,0.55,5.8,37.704,39.892,0.0,17.114
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.345,brick,0.23,mineral_wool,0.1,south,1.8,1.2,0.35,2.6,35.885,37.131,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,rammed_earth,0.3,concrete,0.15,mineral_wool,0.05,west,1.8,1.5,0.65,2.6,37.731,39.803,0.0,17.116
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,concrete,0.15,concrete,0.1,none,0.0,west,0.9,1.2,0.45,2.6,42.642,49.954,0.0,16.997
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.15,rcc_slab,0.2,mineral_wool,0.05,west,0.6,0.9,0.45,3.5,34.558,36.386,0.0,17.172
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.1,brick,0.23,eps,0.1,east,1.5,1.5,0.45,2.6,36.729,38.866,0.0,17.132
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.05,gi_sheet,0.002,eps,0.1,east,1.5,0.9,0.65,3.5,35.516,40.061,0.1726,17.311
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.115,gi_sheet,0.002,eps,0.025,south,1.8,1.2,0.85,2.6,40.067,45.738,0.0,17.152
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,rammed_earth,0.45,gi_sheet,0.002,eps,0.025,north,0.6,1.2,0.65,5.8,36.82,38.411,0.0,17.11
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.05,puf_sandwich_panel,0.1,mineral_wool,0.1,west,1.8,0.6,0.55,2.6,35.21,38.799,0.0952,17.255
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,plywood,0.05,brick,0.23,none,0.0,north,0.9,0.9,0.55,3.5,40.168,46.941,0.0,17.167
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.2,gi_sheet,0.002,eps,0.1,east,1.2,0.9,0.75,3.5,36.096,37.656,0.0,17.123
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.05,puf_sandwich_panel,0.15,eps,0.05,west,1.2,0.6,0.35,3.5,34.003,37.423,0.2321,17.323
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.115,concrete,0.15,mineral_wool,0.025,west,0.6,1.5,0.55,2.6,38.477,41.923,0.0,17.135
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.15,brick,0.115,eps,0.025,north,0.6,1.5,0.55,3.5,37.978,40.927,0.0,17.134
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.03,brick,0.115,mineral_wool,0.025,south,0.9,0.6,0.65,2.6,37.847,43.396,0.0,17.204
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,rammed_earth,0.45,puf_sandwich_panel,0.05,eps,0.05,east,0.6,0.6,0.55,5.8,34.944,35.669,0.0,17.11
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,rammed_earth,0.3,puf_sandwich_panel,0.1,eps,0.05,east,1.8,0.6,0.35,5.8,35.387,36.545,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.115,rcc_slab,0.15,mineral_wool,0.025,north,0.6,0.6,0.85,5.8,38.083,41.182,0.0,17.134
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,gi_sheet,0.002,brick,0.115,mineral_wool,0.025,east,0.9,0.9,0.55,5.8,38.7,45.563,0.0,17.205
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,brick,0.115,gi_sheet,0.002,none,0.0,west,0.6,1.5,0.55,2.6,42.763,52.622,0.0,15.218
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,gi_sheet,0.002,rcc_slab,0.1,none,0.0,north,1.8,1.2,0.85,5.8,43.254,58.337,0.0952,10.869
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,concrete,0.15,rcc_slab,0.15,eps,0.05,east,1.5,1.5,0.35,3.5,37.482,39.949,0.0,17.125
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.075,brick,0.115,mineral_wool,0.1,south,0.9,0.9,0.35,5.8,34.321,36.829,0.0238,17.21
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.3,puf_sandwich_panel,0.1,eps,0.1,north,0.9,0.6,0.35,3.5,34.398,35.06,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,brick,0.345,concrete,0.15,eps,0.1,east,1.2,0.6,0.55,5.8,35.153,35.988,0.0,17.111
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,plywood,0.019,brick,0.115,none,0.0,north,1.2,0.6,0.85,5.8,42.148,54.797,0.0298,13.191
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,plywood,0.05,puf_sandwich_panel,0.15,mineral_wool,0.1,south,1.8,1.5,0.45,2.6,36.515,42.495,0.0655,17.256
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,gi_sheet,0.002,rcc_slab,0.1,none,0.0,north,0.6,1.2,0.75,2.6,42.659,56.908,0.0952,10.849
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.3,puf_sandwich_panel,0.05,eps,0.05,south,0.9,0.6,0.85,2.6,35.611,36.893,0.0,17.119
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,brick,0.23,puf_sandwich_panel,0.05,eps,0.05,east,1.5,1.5,0.65,5.8,37.636,40.237,0.0,17.126
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,plywood,0.05,gi_sheet,0.002,eps,0.05,west,1.5,0.6,0.85,2.6,36.928,42.346,0.0774,17.26
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,rammed_earth,0.45,brick,0.23,eps,0.1,west,0.9,1.5,0.45,3.5,35.332,36.224,0.0,17.108
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,rammed_earth,0.45,rcc_slab,0.15,mineral_wool,0.025,south,1.5,1.2,0.65,5.8,37.25,39.025,0.0,17.109
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.15,gi_sheet,0.002,mineral_wool,0.025,north,1.5,0.9,0.85,3.5,37.081,43.533,0.131,17.303
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,gi_sheet,0.002,brick,0.23,mineral_wool,0.1,west,1.2,0.6,0.35,3.5,35.51,37.987,0.0,17.169
