site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,ach,roof_pitch_deg,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,rammed_earth,0.45,gi_sheet,0.002,sheep_wool,0.1,east,0.6,1.2,0.85,3.5,0.5,0.0,36.566,38.174,0.0,18.526,27.459,0.9643
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,plywood,0.019,mud_brick,0.25,sheep_wool,0.1,south,0.9,1.5,0.35,5.8,4.0,0.0,37.452,40.83,0.0,18.602,26.522,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,brick,0.115,mineral_wool,0.1,south,1.2,0.6,0.55,2.6,2.0,25.0,37.845,41.873,0.0,18.631,28.638,0.8452
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,stone,0.45,mud_brick,0.15,xps,0.05,west,1.8,1.2,0.85,3.5,6.0,30.0,37.192,39.179,0.0,18.513,23.703,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,mud_brick,0.3,rcc_slab,0.25,eps,0.15,west,1.5,0.9,0.85,3.5,10.0,15.0,37.322,39.555,0.0,18.525,23.839,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,brick,0.23,eps,0.2,east,0.6,1.5,0.55,3.5,1.0,0.0,37.407,39.993,0.0,18.602,29.128,0.9524
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,aerated_concrete,0.3,rcc_slab,0.2,mineral_wool,0.15,west,0.6,0.9,0.45,2.6,2.0,30.0,35.888,37.071,0.0,18.547,26.827,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.075,puf_sandwich_panel,0.15,eps,0.025,west,0.9,0.6,0.85,2.6,3.0,0.0,36.273,39.643,0.0,18.799,28.064,0.9881
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.2,puf_sandwich_panel,0.1,mineral_wool,0.15,north,1.2,0.9,0.65,1.2,4.0,30.0,36.781,38.459,0.0,18.533,25.174,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.1,aerated_concrete,0.1,eps,0.025,east,1.8,0.6,0.35,2.6,4.0,25.0,37.135,41.709,0.0,18.735,27.186,0.9524
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,mud_brick,0.45,stone,0.3,sheep_wool,0.1,west,1.8,0.6,0.55,1.2,8.0,30.0,36.354,37.873,0.0,18.515,23.365,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,135.0,brick,0.115,brick,0.115,sheep_wool,0.05,east,0.9,1.2,0.55,2.6,3.0,5.0,38.642,41.767,0.0,18.562,28.006,0.9821
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,stone,0.45,puf_sandwich_panel,0.075,xps,0.15,west,1.5,0.9,0.85,1.2,8.0,25.0,36.873,38.742,0.0,18.514,23.205,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.05,concrete,0.1,none,0.0,south,0.6,0.6,0.55,3.5,0.5,25.0,42.3,51.567,0.0,18.653,31.01,0.5655
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,concrete,0.1,eps,0.15,south,0.9,0.9,0.35,1.2,8.0,10.0,36.869,40.912,0.0,18.64,25.098,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.15,mud_brick,0.25,sheep_wool,0.05,east,1.5,0.9,0.35,2.6,2.0,5.0,36.53,38.434,0.0,18.604,29.293,0.9286
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,180.0,stone,0.15,puf_sandwich_panel,0.075,eps,0.2,north,0.6,0.9,0.75,1.6,4.0,10.0,36.228,37.653,0.0,18.544,26.362,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,gi_sheet,0.002,stone,0.3,xps,0.1,north,0.6,1.5,0.35,1.2,6.0,0.0,37.167,39.856,0.0,18.57,25.55,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,brick,0.115,eps,0.05,west,1.8,1.2,0.85,3.5,4.0,0.0,41.209,51.522,0.0,18.649,29.154,0.6964
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,45.0,concrete,0.3,gi_sheet,0.002,xps,0.05,north,1.2,0.6,0.55,1.2,10.0,0.0,37.186,39.279,0.0,18.53,24.197,1.0
Ahmedabad,23.0225,72.5714,composite,3.0,3.0,2.6,90.0,mud_brick,0.15,brick,0.115,eps,0.05,south,0.6,0.6,0.85,3.5,10.0,25.0,37.495,40.422,0.0,18.544,24.462,1.0
