site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,stone,0.15,mud_brick,0.25,eps,0.1,south,1.2,1.2,0.35,2.0,30.808,32.692,0.7798,18.525,24.866,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,0.0,concrete,0.2,gi_sheet,0.002,xps,0.05,north,1.2,0.9,0.35,2.0,31.107,33.145,0.6905,18.529,24.8,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,aerated_concrete,0.2,stone,0.3,eps,0.15,west,0.6,1.5,0.65,3.5,30.514,32.261,0.9226,18.536,24.975,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,gi_sheet,0.002,puf_sandwich_panel,0.05,sheep_wool,0.1,west,1.2,1.2,0.75,3.5,32.652,41.701,0.506,18.67,25.907,0.9881
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,180.0,aerated_concrete,0.2,brick,0.23,eps,0.05,west,1.2,1.5,0.35,5.8,31.049,33.293,0.6905,18.548,25.017,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,135.0,gi_sheet,0.002,gi_sheet,0.002,mineral_wool,0.15,south,0.9,1.2,0.65,2.6,31.595,37.089,0.5595,18.647,25.649,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,aerated_concrete,0.1,mud_brick,0.25,none,0.0,west,0.9,0.9,0.65,2.6,33.49,38.982,0.3333,18.556,25.541,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.05,concrete,0.2,eps,0.05,north,1.2,0.9,0.75,5.8,30.96,33.508,0.6905,18.573,26.245,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.15,stone,0.15,sheep_wool,0.05,east,1.5,0.9,0.85,3.5,31.197,33.767,0.625,18.578,27.121,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,concrete,0.3,brick,0.115,sheep_wool,0.05,east,0.9,0.9,0.55,3.5,31.013,33.033,0.6667,18.518,24.304,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,135.0,mud_brick,0.45,gi_sheet,0.002,xps,0.05,north,1.5,1.5,0.65,1.6,31.005,33.056,0.625,18.517,24.796,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,180.0,timber,0.15,timber,0.15,sheep_wool,0.05,north,1.8,0.6,0.65,1.2,30.944,33.525,0.6905,18.578,26.399,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,0.0,timber,0.2,stone,0.15,eps,0.05,south,0.6,1.2,0.55,2.0,30.686,32.633,0.8452,18.548,25.626,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,90.0,mud_brick,0.45,rcc_slab,0.15,mineral_wool,0.05,north,0.9,1.5,0.85,2.0,30.769,32.781,0.7083,18.515,24.158,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,brick,0.23,gi_sheet,0.002,eps,0.1,north,1.2,0.6,0.35,3.5,30.256,31.802,1.0,18.529,24.515,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.15,concrete,0.1,sheep_wool,0.1,west,1.2,1.5,0.35,2.0,31.075,34.587,0.6667,18.604,25.943,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,0.0,rammed_earth,0.45,brick,0.115,eps,0.05,south,1.5,1.2,0.55,1.2,30.539,32.437,0.8571,18.517,24.932,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,45.0,concrete,0.2,puf_sandwich_panel,0.15,sheep_wool,0.1,north,1.5,1.2,0.85,1.2,31.634,33.794,0.4881,18.529,25.182,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,90.0,gi_sheet,0.002,aerated_concrete,0.1,mineral_wool,0.15,north,1.5,0.9,0.75,1.2,31.519,35.31,0.5476,18.631,25.938,1.0
Bengaluru,12.9716,77.5946,temperate,3.0,3.0,2.6,180.0,gi_sheet,0.002,rcc_slab,0.2,none,0.0,south,1.2,1.2,0.55,5.8,34.468,45.912,0.4405,18.568,25.134,0.8512
