site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,90.0,gi_sheet,0.002,mud_brick,0.25,sheep_wool,0.1,south,1.2,0.9,0.45,5.8,35.917,39.137,0.0595,24.46,29.846,0.9167
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,135.0,timber,0.1,brick,0.115,eps,0.1,south,1.2,1.2,0.45,2.6,35.972,39.113,0.0595,24.468,30.39,0.8988
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.15,brick,0.23,mineral_wool,0.1,north,0.6,0.9,0.65,2.6,34.559,36.113,0.0655,24.463,30.366,0.9583
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,timber,0.2,stone,0.15,mineral_wool,0.15,west,0.9,1.5,0.45,1.2,34.745,36.323,0.0655,24.442,30.193,0.9762
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,90.0,gi_sheet,0.002,aerated_concrete,0.2,xps,0.15,west,1.2,1.2,0.35,5.8,35.498,38.902,0.0536,24.507,29.687,0.9643
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,gi_sheet,0.002,brick,0.23,eps,0.15,east,0.9,1.5,0.75,1.2,36.747,40.463,0.0595,24.462,30.948,0.7738
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.05,mud_brick,0.25,sheep_wool,0.15,south,0.6,1.5,0.45,3.5,34.921,37.082,0.0655,24.463,30.377,0.9048
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,plywood,0.03,puf_sandwich_panel,0.075,eps,0.025,north,0.9,1.5,0.65,1.2,36.423,41.778,0.0476,24.554,31.025,0.6845
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.05,rcc_slab,0.1,mineral_wool,0.15,east,1.5,0.6,0.65,5.8,34.693,36.675,0.0595,24.489,30.74,0.8274
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,mud_brick,0.3,brick,0.115,eps,0.025,south,0.9,0.6,0.85,2.0,35.912,38.331,0.0714,24.419,29.378,0.9821
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,45.0,concrete,0.1,aerated_concrete,0.1,sheep_wool,0.15,north,0.6,0.6,0.45,3.5,35.026,37.086,0.0714,24.442,29.675,1.0
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.1,rcc_slab,0.25,none,0.0,east,1.8,1.5,0.45,2.0,38.853,43.927,0.0536,24.456,31.115,0.6726
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,0.0,brick,0.115,mud_brick,0.25,eps,0.05,west,1.8,0.6,0.45,2.6,36.235,39.031,0.0655,24.432,30.035,0.881
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,45.0,brick,0.345,stone,0.15,sheep_wool,0.1,west,1.5,0.6,0.35,3.5,34.348,36.306,0.0952,24.416,28.768,1.0
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,0.0,aerated_concrete,0.2,gi_sheet,0.002,mineral_wool,0.15,north,0.6,0.6,0.85,2.0,34.7,36.54,0.0655,24.465,30.252,0.9702
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,mud_brick,0.45,concrete,0.2,mineral_wool,0.1,north,0.6,1.2,0.35,5.8,33.452,35.107,0.2024,24.413,28.372,1.0
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.1,concrete,0.1,eps,0.1,west,1.2,1.5,0.35,3.5,35.127,37.386,0.0536,24.494,30.307,0.9345
Chennai,13.0827,80.2707,warm_humid,3.0,3.0,2.6,180.0,concrete,0.1,gi_sheet,0.002,xps,0.05,west,1.8,0.6,0.65,1.2,36.267,38.894,0.0595,24.445,30.116,0.8929
