site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,ach,roof_pitch_deg,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,rammed_earth,0.45,brick,0.115,xps,0.05,east,1.8,1.5,0.65,1.2,4.0,15.0,36.775,39.804,0.0714,11.129,19.609,0.7738
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,brick,0.345,aerated_concrete,0.1,none,0.0,north,1.5,1.2,0.75,1.6,8.0,25.0,38.313,41.802,0.0595,11.132,16.715,0.2381
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,rammed_earth,0.15,brick,0.115,eps,0.025,south,1.2,1.5,0.35,1.6,2.0,5.0,37.866,41.495,0.0595,11.171,19.941,0.9107
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,timber,0.15,concrete,0.2,eps,0.2,east,1.2,0.6,0.45,1.6,1.0,0.0,33.613,34.998,0.0774,11.195,23.944,0.9107
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.05,gi_sheet,0.002,mineral_wool,0.05,south,1.5,0.9,0.55,5.8,4.0,0.0,36.015,41.202,0.1012,11.458,20.087,0.8155
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,45.0,brick,0.23,puf_sandwich_panel,0.05,sheep_wool,0.15,west,1.8,0.9,0.55,3.5,8.0,25.0,36.232,39.034,0.0714,11.147,16.625,0.0536
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.1,stone,0.15,eps,0.2,west,0.9,1.2,0.65,3.5,8.0,0.0,35.397,38.512,0.0655,11.248,18.113,0.5714
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,plywood,0.019,concrete,0.2,xps,0.1,east,1.5,0.6,0.75,2.6,2.0,10.0,36.34,39.892,0.0655,11.231,22.005,0.9286
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,45.0,brick,0.23,aerated_concrete,0.2,xps,0.1,east,0.9,0.9,0.75,3.5,4.0,15.0,35.331,37.423,0.0714,11.147,18.87,0.7857
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,concrete,0.15,concrete,0.15,eps,0.1,north,0.6,0.9,0.85,2.6,6.0,20.0,35.75,38.056,0.0714,11.148,17.502,0.4702
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,concrete,0.2,timber,0.15,eps,0.05,south,1.8,1.2,0.75,2.6,10.0,5.0,37.769,41.66,0.0655,11.152,17.326,0.375
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,rammed_earth,0.15,timber,0.15,xps,0.1,north,1.8,1.5,0.85,2.6,6.0,0.0,37.189,40.364,0.0595,11.182,19.656,0.9107
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,mud_brick,0.15,stone,0.3,none,0.0,east,0.6,0.9,0.35,5.8,8.0,25.0,39.435,44.241,0.0595,11.142,16.751,0.3512
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,plywood,0.012,brick,0.23,mineral_wool,0.1,east,1.5,1.2,0.65,1.6,4.0,0.0,37.087,41.443,0.0595,11.236,21.491,0.9286
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,0.0,rammed_earth,0.45,concrete,0.2,sheep_wool,0.15,west,1.5,1.2,0.35,2.6,1.0,10.0,34.192,36.143,0.0893,11.127,19.482,0.7143
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,mud_brick,0.45,puf_sandwich_panel,0.15,sheep_wool,0.05,south,1.5,0.6,0.85,2.6,0.5,10.0,34.064,35.825,0.0833,11.129,19.685,0.7381
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,timber,0.1,rcc_slab,0.15,eps,0.15,north,1.8,1.5,0.55,2.6,1.0,15.0,35.793,38.248,0.0655,11.217,25.184,0.9286
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,plywood,0.05,mud_brick,0.25,eps,0.05,west,1.5,0.6,0.65,5.8,1.0,25.0,36.398,39.301,0.0595,11.212,21.51,0.9226
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,45.0,rammed_earth,0.15,rcc_slab,0.1,eps,0.05,north,1.2,1.2,0.85,2.6,10.0,0.0,37.038,40.564,0.0595,11.172,16.98,0.2917
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,0.0,timber,0.1,aerated_concrete,0.1,eps,0.15,south,0.6,1.5,0.35,2.6,2.0,15.0,34.526,36.974,0.0714,11.274,22.447,0.9345
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,0.0,timber,0.15,mud_brick,0.25,xps,0.1,north,0.9,0.6,0.65,3.5,6.0,20.0,35.388,37.926,0.0714,11.186,18.054,0.6131
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,mud_brick,0.3,rcc_slab,0.1,eps,0.2,south,0.9,1.2,0.75,2.6,3.0,15.0,35.046,37.244,0.0833,11.137,19.476,0.7679
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,timber,0.2,timber,0.15,sheep_wool,0.15,north,1.5,0.6,0.55,1.2,4.0,30.0,35.086,37.422,0.0714,11.205,19.896,0.9167
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,aerated_concrete,0.3,mud_brick,0.15,xps,0.15,west,1.5,1.5,0.65,2.0,1.0,0.0,35.147,37.218,0.0655,11.189,23.421,0.9107
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,aerated_concrete,0.3,mud_brick,0.15,mineral_wool,0.1,west,1.5,0.9,0.45,1.2,1.0,15.0,34.385,36.044,0.0714,11.179,22.611,0.9048
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,concrete,0.3,aerated_concrete,0.2,sheep_wool,0.05,east,0.6,1.5,0.85,3.5,0.5,0.0,35.386,37.596,0.0714,11.137,20.958,0.7917
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,rammed_earth,0.45,rcc_slab,0.1,mineral_wool,0.15,west,0.6,1.2,0.75,1.2,10.0,0.0,34.999,36.967,0.0774,11.13,16.308,0.0
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,45.0,aerated_concrete,0.2,stone,0.15,sheep_wool,0.05,west,0.9,0.9,0.55,5.8,4.0,0.0,36.173,39.248,0.0655,11.195,19.523,0.9107
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,0.0,brick,0.115,aerated_concrete,0.1,sheep_wool,0.1,north,0.6,1.2,0.45,3.5,3.0,25.0,35.878,38.524,0.0655,11.178,19.625,0.9048
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,90.0,rammed_earth,0.3,rcc_slab,0.1,sheep_wool,0.05,south,0.6,1.2,0.85,5.8,4.0,0.0,36.327,39.015,0.0714,11.143,18.879,0.7798
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,135.0,rammed_earth,0.15,mud_brick,0.15,sheep_wool,0.1,north,1.8,1.5,0.85,2.6,10.0,15.0,37.26,40.569,0.0595,11.164,17.304,0.3988
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,180.0,rammed_earth,0.3,mud_brick,0.15,eps,0.1,east,1.2,0.6,0.55,1.6,3.0,20.0,34.915,36.961,0.0774,11.136,18.893,0.7619
Delhi,28.6139,77.209,cold,3.0,3.0,2.6,45.0,mud_brick,0.15,puf_sandwich_panel,0.1,sheep_wool,0.15,west,1.8,0.6,0.45,1.2,8.0,20.0,35.89,38.783,0.0714,11.17,17.003,0.2202
