site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,ach,roof_pitch_deg,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,brick,0.345,concrete,0.2,mineral_wool,0.05,south,1.2,0.9,0.65,1.2,2.0,5.0,15.398,17.913,0.0,-18.255,-5.048,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.1,brick,0.23,xps,0.05,east,0.9,0.9,0.45,1.6,6.0,20.0,15.295,20.001,0.1488,-18.114,-6.406,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,brick,0.345,concrete,0.15,eps,0.1,west,0.9,1.5,0.85,2.0,3.0,20.0,15.379,17.881,0.0,-18.258,-7.278,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,180.0,brick,0.23,puf_sandwich_panel,0.075,eps,0.025,south,0.9,0.9,0.45,3.5,0.5,0.0,15.214,17.93,0.0,-18.221,-3.541,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,135.0,stone,0.3,brick,0.23,eps,0.15,north,0.6,0.9,0.65,1.6,2.0,5.0,13.427,14.902,0.0,-18.261,-6.949,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,brick,0.115,stone,0.3,eps,0.15,east,1.5,1.2,0.85,2.0,8.0,5.0,16.415,20.26,0.2738,-18.225,-6.74,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,135.0,brick,0.23,puf_sandwich_panel,0.075,xps,0.15,east,1.5,0.6,0.35,2.0,3.0,0.0,13.714,15.729,0.0,-18.222,-4.445,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,90.0,concrete,0.15,aerated_concrete,0.2,xps,0.1,west,0.9,0.9,0.75,2.6,10.0,10.0,15.801,19.765,0.1726,-18.218,-9.116,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,aerated_concrete,0.3,aerated_concrete,0.2,eps,0.025,north,1.8,0.6,0.45,2.0,6.0,10.0,15.669,19.961,0.1607,-18.167,-6.734,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.075,stone,0.3,eps,0.1,east,0.9,0.9,0.85,1.6,6.0,30.0,15.359,19.164,0.125,-18.185,-6.66,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,0.0,concrete,0.2,mud_brick,0.25,mineral_wool,0.05,east,1.2,0.9,0.65,2.6,8.0,15.0,16.557,20.339,0.2917,-18.246,-8.686,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,180.0,aerated_concrete,0.3,rcc_slab,0.2,sheep_wool,0.1,west,1.5,0.9,0.35,1.6,1.0,0.0,13.475,15.36,0.0,-18.195,-1.663,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.1,stone,0.3,eps,0.1,south,0.6,0.6,0.45,1.2,1.0,20.0,12.495,14.097,0.0,-18.177,-0.833,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,180.0,brick,0.345,timber,0.15,eps,0.2,west,1.8,1.5,0.45,3.5,10.0,25.0,15.878,19.091,0.1726,-18.256,-10.024,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,90.0,brick,0.23,concrete,0.15,sheep_wool,0.05,south,0.9,1.5,0.85,1.6,4.0,0.0,17.089,21.126,0.4107,-18.233,-5.198,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,90.0,stone,0.15,gi_sheet,0.002,sheep_wool,0.05,west,1.8,1.5,0.75,1.2,10.0,5.0,17.367,22.49,0.4167,-18.214,-8.64,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,45.0,gi_sheet,0.002,stone,0.3,xps,0.15,north,1.2,0.9,0.65,5.8,8.0,20.0,16.066,20.887,0.1964,-18.184,-8.714,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,135.0,gi_sheet,0.002,puf_sandwich_panel,0.075,mineral_wool,0.1,south,0.9,0.9,0.65,1.6,6.0,10.0,15.959,23.769,0.3333,-17.891,-6.537,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,180.0,rammed_earth,0.45,rcc_slab,0.15,mineral_wool,0.1,east,1.5,1.2,0.65,5.8,0.5,0.0,14.954,17.14,0.0,-18.258,-5.09,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,90.0,concrete,0.3,gi_sheet,0.002,sheep_wool,0.15,north,1.5,0.6,0.55,5.8,1.0,10.0,13.615,15.192,0.0,-18.252,-5.723,0.0
Dras,34.4306,75.7499,cold,3.0,3.0,2.6,135.0,concrete,0.3,concrete,0.2,eps,0.15,west,0.9,1.5,0.55,2.6,8.0,20.0,15.214,17.835,0.0,-18.261,-9.83,0.0
