site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,180.0,mud_brick,0.45,brick,0.115,eps,0.2,south,1.8,0.9,0.85,2.0,33.328,35.088,0.2202,20.118,25.954,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,0.0,mud_brick,0.3,puf_sandwich_panel,0.05,eps,0.05,north,1.8,1.5,0.85,2.6,35.504,38.014,0.0833,20.128,27.502,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,135.0,stone,0.15,aerated_concrete,0.1,eps,0.1,west,1.5,0.9,0.75,1.2,34.418,36.408,0.0833,20.136,27.083,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,90.0,brick,0.23,concrete,0.15,mineral_wool,0.15,west,0.6,0.9,0.55,3.5,32.937,34.231,0.2202,20.127,26.386,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,90.0,mud_brick,0.45,puf_sandwich_panel,0.1,sheep_wool,0.15,east,0.9,0.9,0.55,3.5,32.279,33.379,0.3571,20.118,26.207,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,90.0,concrete,0.1,rcc_slab,0.25,sheep_wool,0.05,east,1.8,1.2,0.55,1.2,35.257,37.913,0.0774,20.137,29.156,0.9345
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.075,concrete,0.15,sheep_wool,0.15,west,0.6,1.2,0.35,2.6,33.151,35.249,0.131,20.195,28.106,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,90.0,gi_sheet,0.002,brick,0.115,eps,0.15,north,1.8,0.9,0.75,2.0,35.106,38.778,0.0655,20.21,28.282,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,90.0,stone,0.15,concrete,0.1,xps,0.1,east,0.9,0.9,0.75,5.8,33.676,35.411,0.1071,20.132,27.481,1.0
Hyderabad,17.385,78.4867,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,concrete,0.1,sheep_wool,0.1,north,0.9,0.9,0.45,2.0,34.238,37.595,0.119,20.209,28.188,1.0
