site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,135.0,plywood,0.012,rcc_slab,0.15,none,0.0,east,1.5,1.2,0.65,2.0,40.803,53.554,0.0774,10.367,20.724,0.4881
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,0.0,stone,0.3,concrete,0.15,eps,0.15,west,1.5,0.6,0.85,5.8,35.404,37.104,0.0,10.231,19.708,0.75
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.1,stone,0.15,xps,0.15,north,0.9,1.2,0.55,1.2,33.536,35.462,0.1012,10.353,23.031,0.9286
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,0.0,aerated_concrete,0.1,gi_sheet,0.002,eps,0.025,south,1.5,1.5,0.35,5.8,36.4,42.484,0.0833,10.427,22.072,0.881
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,90.0,aerated_concrete,0.3,gi_sheet,0.002,sheep_wool,0.1,south,1.8,0.6,0.45,2.6,34.663,37.247,0.0476,10.318,22.784,0.9167
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,135.0,brick,0.23,rcc_slab,0.2,eps,0.1,north,1.8,0.9,0.35,1.2,34.833,36.342,0.0,10.247,20.653,0.7857
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,0.0,plywood,0.03,rcc_slab,0.2,xps,0.1,east,1.2,0.9,0.35,1.6,34.606,37.223,0.0595,10.333,22.286,0.9226
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,135.0,gi_sheet,0.002,rcc_slab,0.1,eps,0.025,east,0.6,1.5,0.75,3.5,37.538,44.641,0.0595,10.395,21.595,0.7976
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,90.0,gi_sheet,0.002,brick,0.23,sheep_wool,0.05,west,1.8,0.9,0.85,1.2,36.873,41.568,0.0417,10.339,21.355,0.9226
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,45.0,timber,0.15,puf_sandwich_panel,0.15,eps,0.05,west,0.9,1.2,0.65,1.2,35.037,38.934,0.0655,10.379,22.805,0.9286
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,135.0,rammed_earth,0.15,gi_sheet,0.002,xps,0.1,north,1.5,1.5,0.65,3.5,35.836,38.466,0.0,10.29,22.304,0.9167
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.15,gi_sheet,0.002,mineral_wool,0.15,north,1.8,1.2,0.35,1.6,33.597,36.739,0.1905,10.524,25.284,0.9524
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,90.0,stone,0.45,gi_sheet,0.002,eps,0.05,west,0.9,0.6,0.35,2.6,34.963,36.285,0.0,10.224,17.787,0.6071
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,135.0,concrete,0.2,mud_brick,0.25,sheep_wool,0.05,south,0.6,0.9,0.85,2.0,36.047,38.369,0.0,10.245,19.874,0.7798
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,180.0,stone,0.45,puf_sandwich_panel,0.075,xps,0.05,south,1.2,0.9,0.35,2.0,34.623,35.743,0.0,10.224,17.845,0.6071
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,45.0,aerated_concrete,0.1,aerated_concrete,0.2,xps,0.05,east,1.5,0.6,0.85,3.5,35.332,38.945,0.0595,10.38,22.752,0.9345
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,180.0,rammed_earth,0.45,aerated_concrete,0.1,eps,0.15,north,1.8,1.2,0.75,1.6,35.005,36.304,0.0,10.235,22.273,0.7857
Jaipur,26.9124,75.7873,composite,3.0,3.0,2.6,0.0,gi_sheet,0.002,gi_sheet,0.002,eps,0.2,west,0.6,0.6,0.85,2.6,34.8,40.464,0.131,10.51,23.233,0.9464
