site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.1,timber,0.1,eps,0.2,north,0.6,0.6,0.55,5.8,33.623,35.739,0.0952,13.971,24.926,0.9762
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,plywood,0.05,brick,0.23,mineral_wool,0.15,north,0.6,1.2,0.85,2.0,35.067,36.891,0.0,13.812,24.209,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,brick,0.115,brick,0.115,sheep_wool,0.1,south,1.2,0.6,0.85,1.6,36.34,38.696,0.0,13.775,22.94,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,brick,0.115,concrete,0.1,mineral_wool,0.15,east,1.8,0.6,0.65,5.8,35.64,37.493,0.0,13.773,23.006,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,mud_brick,0.45,brick,0.23,xps,0.1,south,1.2,0.9,0.45,5.8,35.009,36.187,0.0,13.726,20.729,0.8452
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,plywood,0.012,mud_brick,0.25,eps,0.1,north,1.8,0.6,0.65,2.6,35.669,38.192,0.0,13.822,24.217,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.075,mud_brick,0.25,none,0.0,north,1.5,1.2,0.35,1.2,37.301,41.049,0.0,13.826,23.438,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,stone,0.45,gi_sheet,0.002,eps,0.025,west,0.6,0.9,0.85,2.0,36.42,38.315,0.0,13.721,19.721,0.8452
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,concrete,0.1,brick,0.23,none,0.0,south,0.6,0.9,0.85,1.6,40.532,47.86,0.0179,13.762,20.451,0.6667
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,plywood,0.019,concrete,0.15,sheep_wool,0.15,east,1.5,1.2,0.65,2.6,36.781,40.764,0.0,13.845,25.493,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,plywood,0.05,concrete,0.15,xps,0.15,south,0.9,0.9,0.65,1.2,34.879,36.951,0.0,13.831,24.994,0.9524
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,stone,0.45,stone,0.3,none,0.0,north,1.2,1.2,0.35,1.2,39.02,42.218,0.0,13.718,19.383,0.9048
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,rammed_earth,0.15,aerated_concrete,0.1,eps,0.2,south,1.8,1.2,0.35,2.0,35.807,37.952,0.0,13.777,23.568,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,stone,0.3,stone,0.15,xps,0.1,south,1.2,1.5,0.35,5.8,35.454,36.902,0.0,13.728,20.204,0.875
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,mud_brick,0.15,gi_sheet,0.002,eps,0.1,south,1.2,1.2,0.45,5.8,36.067,38.465,0.0,13.776,22.709,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,concrete,0.1,concrete,0.1,sheep_wool,0.15,south,1.2,0.9,0.75,1.2,36.324,38.629,0.0,13.773,22.906,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,aerated_concrete,0.1,rcc_slab,0.15,xps,0.1,west,0.9,0.6,0.65,1.2,34.931,36.799,0.0,13.814,23.532,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,rammed_earth,0.45,concrete,0.2,eps,0.2,south,1.8,1.5,0.85,5.8,37.34,39.873,0.0,13.728,21.001,0.881
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,plywood,0.03,puf_sandwich_panel,0.15,eps,0.2,north,0.9,0.9,0.55,2.6,34.527,37.433,0.0536,13.984,24.48,0.9762
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,timber,0.1,gi_sheet,0.002,mineral_wool,0.15,south,0.9,0.6,0.75,3.5,34.987,37.902,0.0119,13.877,24.014,0.9643
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,plywood,0.03,gi_sheet,0.002,sheep_wool,0.15,south,0.6,1.2,0.45,1.2,34.822,38.264,0.0595,13.982,23.987,0.9762
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,gi_sheet,0.002,stone,0.3,mineral_wool,0.05,east,1.8,0.6,0.55,1.6,36.839,39.885,0.0,13.783,22.593,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,timber,0.15,stone,0.15,sheep_wool,0.15,west,0.6,0.6,0.55,1.2,34.514,36.011,0.0,13.793,23.527,0.9405
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,concrete,0.15,concrete,0.15,eps,0.025,east,1.5,1.5,0.35,5.8,37.434,40.357,0.0,13.754,21.566,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,mud_brick,0.15,puf_sandwich_panel,0.075,sheep_wool,0.05,east,1.5,0.6,0.85,2.0,36.726,39.476,0.0,13.776,23.273,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,gi_sheet,0.002,mud_brick,0.25,eps,0.05,north,1.5,0.6,0.75,2.0,36.938,40.983,0.006,13.818,22.528,0.9405
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,plywood,0.03,timber,0.1,mineral_wool,0.15,west,1.5,0.9,0.35,3.5,34.939,37.963,0.0357,13.928,23.447,0.9702
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,rammed_earth,0.15,stone,0.15,xps,0.05,east,0.9,0.6,0.65,3.5,36.023,37.94,0.0,13.758,22.137,0.9226
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,plywood,0.03,aerated_concrete,0.2,mineral_wool,0.1,north,0.9,0.6,0.65,1.2,35.115,38.123,0.0238,13.905,23.972,0.9702
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,gi_sheet,0.002,rcc_slab,0.25,mineral_wool,0.1,south,0.9,0.9,0.45,2.0,35.831,38.537,0.0,13.802,22.69,0.9405
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,gi_sheet,0.002,concrete,0.1,mineral_wool,0.1,east,1.8,1.2,0.55,3.5,37.163,42.24,0.0179,13.867,24.337,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,timber,0.1,rcc_slab,0.15,xps,0.15,east,1.2,1.2,0.45,2.0,35.323,37.559,0.0,13.812,24.854,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,gi_sheet,0.002,rcc_slab,0.2,mineral_wool,0.1,west,1.2,1.5,0.55,1.2,37.336,41.656,0.0,13.817,23.003,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,stone,0.15,stone,0.3,eps,0.15,east,0.9,1.5,0.55,5.8,35.083,36.326,0.0,13.739,21.968,0.9107
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,gi_sheet,0.002,stone,0.3,xps,0.05,south,1.8,1.2,0.45,2.0,37.518,41.232,0.0,13.784,22.646,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,puf_sandwich_panel,0.05,eps,0.05,south,1.2,1.2,0.75,1.2,36.646,44.147,0.0536,14.061,24.894,0.9821
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,stone,0.15,sheep_wool,0.05,east,1.8,1.5,0.65,2.0,38.2,43.266,0.0,13.841,26.95,0.8393
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,stone,0.15,stone,0.15,none,0.0,south,0.9,1.5,0.75,1.2,40.986,47.785,0.0119,13.747,20.319,0.6845
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,aerated_concrete,0.1,puf_sandwich_panel,0.1,mineral_wool,0.15,north,1.5,1.2,0.85,3.5,35.755,38.911,0.0119,13.89,26.882,0.875
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,stone,0.3,brick,0.23,sheep_wool,0.1,south,1.2,1.5,0.65,1.2,36.421,38.384,0.0,13.728,21.022,0.881
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,brick,0.345,timber,0.15,xps,0.1,north,1.2,1.2,0.85,3.5,35.671,37.103,0.0,13.736,21.926,0.9048
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,plywood,0.012,mud_brick,0.25,xps,0.05,north,0.9,0.9,0.35,5.8,36.222,39.654,0.006,13.823,22.215,0.9464
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,concrete,0.3,puf_sandwich_panel,0.1,eps,0.025,south,1.8,1.5,0.35,1.2,36.421,38.363,0.0,13.738,22.278,0.9167
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,timber,0.15,aerated_concrete,0.1,sheep_wool,0.05,north,0.6,1.5,0.35,5.8,35.514,38.417,0.006,13.846,23.123,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,timber,0.2,brick,0.115,none,0.0,north,0.9,0.6,0.65,5.8,39.318,44.664,0.0119,13.802,22.612,0.9405
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,45.0,aerated_concrete,0.3,stone,0.15,xps,0.15,north,1.5,0.6,0.55,5.8,34.51,35.672,0.0,13.772,22.824,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,stone,0.45,stone,0.3,sheep_wool,0.05,west,0.9,1.2,0.85,2.6,35.773,37.312,0.0,13.718,19.509,0.7738
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,timber,0.1,aerated_concrete,0.1,eps,0.2,east,0.6,1.5,0.75,5.8,35.621,39.198,0.006,13.871,24.525,0.9643
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,brick,0.115,aerated_concrete,0.2,none,0.0,south,1.8,1.2,0.75,1.6,40.492,48.193,0.0179,13.785,22.087,0.8274
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,timber,0.1,concrete,0.1,mineral_wool,0.05,east,1.8,0.6,0.55,3.5,36.734,40.63,0.0,13.831,23.658,0.9524
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,stone,0.3,stone,0.15,xps,0.15,east,1.5,1.5,0.35,2.0,34.808,35.84,0.0,13.728,21.639,0.8869
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,brick,0.115,stone,0.15,eps,0.1,west,0.6,0.9,0.65,1.2,35.918,37.921,0.0,13.765,23.143,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,mud_brick,0.3,timber,0.15,none,0.0,north,0.9,1.2,0.45,2.6,37.247,39.655,0.0,13.741,21.052,0.9167
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,stone,0.15,aerated_concrete,0.1,eps,0.15,east,0.9,1.2,0.55,3.5,35.552,37.139,0.0,13.756,22.395,0.9226
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.1,puf_sandwich_panel,0.075,mineral_wool,0.15,north,0.6,0.9,0.55,5.8,33.842,36.221,0.1131,14.005,24.476,0.9762
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,brick,0.23,rcc_slab,0.25,sheep_wool,0.15,east,0.9,1.5,0.65,5.8,36.09,37.913,0.0,13.74,22.218,0.9048
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,stone,0.15,aerated_concrete,0.2,sheep_wool,0.15,south,1.2,1.2,0.55,5.8,36.099,38.102,0.0,13.754,22.198,0.9226
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,concrete,0.1,concrete,0.1,sheep_wool,0.05,east,1.2,0.6,0.85,2.0,37.212,40.157,0.0,13.773,22.515,0.9345
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,brick,0.23,timber,0.15,eps,0.1,west,0.6,0.6,0.65,2.6,34.747,35.883,0.0,13.749,22.141,0.9167
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,0.0,concrete,0.1,brick,0.23,eps,0.05,east,1.2,1.5,0.75,2.0,37.706,40.532,0.0,13.764,22.801,0.9286
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,timber,0.15,gi_sheet,0.002,eps,0.2,west,0.6,0.6,0.35,5.8,33.9,35.473,0.0,13.851,23.875,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,plywood,0.03,concrete,0.1,mineral_wool,0.05,east,0.6,1.2,0.35,3.5,36.046,39.885,0.0238,13.869,23.179,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,180.0,gi_sheet,0.002,brick,0.115,mineral_wool,0.05,south,0.9,0.6,0.65,5.8,36.523,40.981,0.0238,13.873,22.206,0.9583
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,90.0,stone,0.15,aerated_concrete,0.1,eps,0.025,east,0.9,0.6,0.35,2.6,36.694,39.156,0.0,13.755,21.283,0.9226
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,mud_brick,0.45,puf_sandwich_panel,0.05,none,0.0,east,0.9,1.5,0.85,1.6,37.108,39.391,0.0,13.73,22.091,0.9048
Jaisalmer,26.9157,70.9083,hot_dry,3.0,3.0,2.6,135.0,mud_brick,0.45,mud_brick,0.25,xps,0.05,west,1.5,1.5,0.75,2.0,36.202,37.913,0.0,13.726,21.044,0.875
