site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.15,rcc_slab,0.2,xps,0.1,south,1.5,0.6,0.45,2.6,16.521,18.879,0.119,-12.429,0.539,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,45.0,brick,0.115,stone,0.3,eps,0.2,south,0.6,0.6,0.65,1.6,17.218,19.12,0.2976,-12.531,-1.221,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,90.0,aerated_concrete,0.1,mud_brick,0.15,sheep_wool,0.05,west,0.6,1.5,0.35,2.6,18.812,23.164,0.631,-12.429,-1.383,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,180.0,timber,0.15,timber,0.15,eps,0.025,east,1.8,0.9,0.85,1.2,21.233,29.703,0.8452,-12.409,1.091,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,45.0,mud_brick,0.45,timber,0.15,xps,0.1,north,1.8,1.2,0.65,5.8,18.261,20.283,0.631,-12.56,-4.185,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.15,timber,0.15,mineral_wool,0.05,north,0.6,1.5,0.55,1.2,17.049,20.913,0.3274,-12.262,2.24,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,45.0,plywood,0.012,timber,0.15,mineral_wool,0.1,north,0.6,1.2,0.45,1.2,18.217,23.849,0.494,-12.277,-0.604,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,45.0,gi_sheet,0.002,mud_brick,0.25,eps,0.2,north,1.2,1.5,0.35,1.6,18.322,22.131,0.5595,-12.441,-1.456,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,135.0,aerated_concrete,0.3,aerated_concrete,0.1,xps,0.15,east,1.5,1.5,0.55,1.2,18.807,23.117,0.6488,-12.461,3.959,0.0
Kargil,34.5584,76.1334,cold,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,aerated_concrete,0.1,eps,0.05,north,0.6,0.9,0.55,2.6,17.576,22.558,0.3929,-12.199,0.834,0.0
