site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,90.0,plywood,0.019,puf_sandwich_panel,0.1,xps,0.05,south,1.5,0.9,0.65,5.8,34.015,40.517,0.3214,17.651,26.073,0.9345
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,90.0,timber,0.15,stone,0.3,xps,0.05,east,1.5,0.6,0.75,2.6,33.126,34.989,0.119,17.452,26.064,0.9821
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,0.0,mud_brick,0.15,timber,0.1,mineral_wool,0.1,north,0.9,1.5,0.65,3.5,33.355,35.358,0.0833,17.456,25.156,0.9821
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,0.0,brick,0.23,rcc_slab,0.25,sheep_wool,0.05,north,1.5,0.6,0.45,1.2,33.308,35.114,0.1667,17.431,24.366,0.9762
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,90.0,rammed_earth,0.45,puf_sandwich_panel,0.15,sheep_wool,0.1,south,1.8,0.6,0.35,1.2,31.951,33.034,0.3571,17.424,23.859,0.9702
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.1,mud_brick,0.25,eps,0.1,west,0.6,0.6,0.65,5.8,32.28,34.019,0.3214,17.497,25.98,0.9881
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,135.0,rammed_earth,0.15,rcc_slab,0.1,mineral_wool,0.05,south,1.8,0.6,0.35,2.6,33.516,35.77,0.0893,17.452,24.566,0.9821
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,45.0,mud_brick,0.15,gi_sheet,0.002,eps,0.2,west,1.2,0.6,0.55,1.2,32.649,34.27,0.1964,17.458,25.238,0.9881
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,0.0,brick,0.115,aerated_concrete,0.1,sheep_wool,0.1,south,1.2,0.6,0.65,2.0,33.209,35.312,0.131,17.468,26.177,0.9881
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,135.0,timber,0.15,stone,0.3,sheep_wool,0.15,east,1.5,1.5,0.35,3.5,32.89,34.652,0.1607,17.453,26.08,0.9821
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,90.0,rammed_earth,0.15,aerated_concrete,0.2,eps,0.15,north,1.8,0.9,0.55,1.6,33.135,34.934,0.119,17.457,25.312,0.9881
Kolkata,22.5726,88.3639,warm_humid,3.0,3.0,2.6,0.0,rammed_earth,0.15,mud_brick,0.25,none,0.0,east,1.8,0.9,0.45,3.5,35.3,39.526,0.0774,17.445,23.957,0.9762
