site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,ach,roof_pitch_deg,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.15,aerated_concrete,0.1,xps,0.05,west,0.9,1.5,0.65,1.6,0.5,10.0,15.614,24.314,0.2321,-11.37,7.151,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,timber,0.15,gi_sheet,0.002,sheep_wool,0.15,north,1.8,0.9,0.35,3.5,1.0,10.0,14.189,17.781,0.0,-11.524,2.212,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,concrete,0.2,rcc_slab,0.2,xps,0.05,west,0.9,1.2,0.45,2.0,0.5,15.0,15.173,18.686,0.0952,-11.657,-0.821,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,aerated_concrete,0.2,timber,0.15,mineral_wool,0.15,south,0.6,1.5,0.55,1.6,6.0,0.0,15.316,20.764,0.1607,-11.561,-1.702,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,0.0,timber,0.1,puf_sandwich_panel,0.1,xps,0.1,west,0.9,0.6,0.35,1.2,0.5,5.0,13.29,17.112,0.0,-11.476,4.338,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,0.0,brick,0.345,timber,0.1,eps,0.2,north,0.6,1.2,0.55,1.2,6.0,30.0,14.358,17.551,0.0,-11.668,-4.788,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,concrete,0.2,rcc_slab,0.1,sheep_wool,0.05,west,0.6,0.6,0.85,5.8,0.5,20.0,15.731,19.626,0.25,-11.655,-0.785,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.075,stone,0.15,sheep_wool,0.15,west,1.2,1.5,0.55,5.8,6.0,10.0,15.513,21.146,0.1964,-11.538,-3.094,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,180.0,stone,0.45,stone,0.3,eps,0.1,west,1.5,0.9,0.75,1.6,2.0,0.0,13.351,15.955,0.0,-11.678,-3.789,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,45.0,timber,0.2,aerated_concrete,0.2,sheep_wool,0.05,south,0.6,1.2,0.85,5.8,4.0,15.0,16.03,21.682,0.2619,-11.575,-0.455,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,gi_sheet,0.002,mud_brick,0.25,eps,0.2,east,1.8,1.2,0.55,3.5,3.0,10.0,15.833,20.689,0.2321,-11.564,1.187,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,180.0,timber,0.15,concrete,0.1,sheep_wool,0.05,west,1.2,0.9,0.35,2.6,8.0,30.0,16.614,23.056,0.3571,-11.585,-4.134,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,timber,0.15,aerated_concrete,0.1,mineral_wool,0.15,west,1.5,1.5,0.35,5.8,1.0,25.0,14.672,18.42,0.0536,-11.557,0.519,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,180.0,aerated_concrete,0.3,gi_sheet,0.002,eps,0.025,east,1.8,1.5,0.75,1.6,10.0,15.0,18.804,29.763,0.5417,-11.583,-2.4,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,0.0,puf_sandwich_panel,0.1,mud_brick,0.15,sheep_wool,0.05,east,0.9,1.2,0.85,3.5,6.0,15.0,16.259,22.806,0.3274,-11.505,-2.311,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,gi_sheet,0.002,stone,0.15,xps,0.15,south,1.8,1.5,0.85,2.6,8.0,25.0,18.144,28.841,0.4881,-11.559,-3.778,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,rammed_earth,0.3,puf_sandwich_panel,0.1,eps,0.05,north,0.6,0.6,0.65,2.6,1.0,20.0,13.823,16.552,0.0,-11.656,-1.273,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,aerated_concrete,0.3,brick,0.115,eps,0.05,north,0.6,0.6,0.75,2.0,3.0,25.0,15.387,19.492,0.1429,-11.615,-0.854,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,45.0,rammed_earth,0.3,rcc_slab,0.15,eps,0.05,west,1.2,0.6,0.45,2.6,4.0,15.0,15.485,19.35,0.2083,-11.66,-3.178,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,180.0,timber,0.15,rcc_slab,0.15,mineral_wool,0.15,west,1.8,0.9,0.75,3.5,10.0,0.0,16.272,21.83,0.3095,-11.585,-4.027,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,mud_brick,0.45,rcc_slab,0.2,sheep_wool,0.1,west,1.8,1.5,0.45,1.2,8.0,25.0,15.242,18.943,0.1488,-11.675,-5.514,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,aerated_concrete,0.2,stone,0.15,mineral_wool,0.05,east,1.5,1.5,0.85,2.6,10.0,0.0,17.221,23.625,0.4107,-11.595,-1.377,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,90.0,timber,0.2,aerated_concrete,0.1,mineral_wool,0.15,south,1.8,1.5,0.45,3.5,0.5,0.0,16.214,22.514,0.2798,-11.554,5.121,0.0
Leh,34.1526,77.5771,cold,3.0,3.0,2.6,135.0,mud_brick,0.3,mud_brick,0.25,sheep_wool,0.05,south,1.2,1.2,0.45,5.8,1.0,0.0,15.157,18.684,0.0952,-11.658,-1.34,0.0
