site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,ach,roof_pitch_deg,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,0.0,mud_brick,0.15,concrete,0.2,eps,0.05,east,0.6,1.2,0.85,1.6,10.0,20.0,32.969,35.405,0.1786,21.23,26.656,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,180.0,gi_sheet,0.002,aerated_concrete,0.1,mineral_wool,0.05,west,1.8,0.6,0.45,2.6,8.0,30.0,33.227,38.557,0.4286,21.342,27.234,0.875
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,135.0,timber,0.15,rcc_slab,0.15,xps,0.15,south,1.5,0.6,0.45,3.5,6.0,0.0,32.748,34.982,0.1905,21.262,27.35,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,0.0,brick,0.115,timber,0.1,eps,0.15,west,0.6,1.2,0.35,5.8,1.0,10.0,33.727,35.876,0.1012,21.25,29.615,0.9524
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,90.0,concrete,0.1,gi_sheet,0.002,mineral_wool,0.05,north,1.5,1.5,0.55,1.2,6.0,15.0,34.062,37.253,0.0893,21.25,28.028,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,135.0,plywood,0.05,timber,0.15,mineral_wool,0.05,north,0.9,1.2,0.35,1.2,6.0,20.0,33.179,37.13,0.3631,21.321,27.787,0.9524
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,45.0,mud_brick,0.15,mud_brick,0.15,sheep_wool,0.15,south,1.5,0.6,0.65,3.5,1.0,30.0,33.628,35.634,0.2083,21.231,29.503,0.8988
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,90.0,puf_sandwich_panel,0.1,stone,0.15,eps,0.1,south,0.9,1.2,0.55,1.2,3.0,0.0,33.863,36.718,0.0774,21.287,29.635,0.9286
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,90.0,concrete,0.2,brick,0.23,none,0.0,east,0.6,0.6,0.75,2.0,8.0,5.0,35.24,39.346,0.0714,21.224,28.486,0.9286
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,0.0,brick,0.345,stone,0.3,mineral_wool,0.1,east,1.2,1.5,0.35,5.8,0.5,30.0,32.369,34.308,0.3571,21.214,27.001,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,180.0,rammed_earth,0.45,brick,0.115,eps,0.15,south,0.6,0.9,0.45,1.2,10.0,10.0,31.644,32.959,0.4524,21.216,25.517,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,0.0,mud_brick,0.3,stone,0.15,sheep_wool,0.15,east,0.9,0.6,0.35,1.2,2.0,30.0,31.97,33.435,0.375,21.217,26.902,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,180.0,stone,0.3,aerated_concrete,0.1,none,0.0,north,0.6,1.5,0.35,3.5,1.0,25.0,35.338,38.629,0.0833,21.215,29.085,0.8988
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,90.0,mud_brick,0.15,gi_sheet,0.002,eps,0.025,north,1.2,1.5,0.75,2.6,1.0,15.0,35.746,39.085,0.0714,21.243,30.224,0.7202
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,45.0,timber,0.1,mud_brick,0.25,eps,0.2,south,1.2,0.6,0.55,2.6,2.0,5.0,33.148,34.991,0.131,21.259,29.615,0.9643
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,45.0,aerated_concrete,0.3,brick,0.23,sheep_wool,0.1,west,1.2,1.5,0.85,3.5,3.0,30.0,34.936,37.991,0.0893,21.237,28.496,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,45.0,rammed_earth,0.15,stone,0.3,eps,0.05,north,1.8,1.5,0.35,1.6,3.0,25.0,33.83,36.036,0.1369,21.226,27.82,1.0
Mumbai,19.076,72.8777,warm_humid,3.0,3.0,2.6,90.0,timber,0.1,concrete,0.2,mineral_wool,0.05,south,1.8,0.6,0.65,2.0,10.0,10.0,33.352,36.846,0.25,21.26,27.267,1.0
