site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,180.0,stone,0.3,puf_sandwich_panel,0.05,eps,0.1,east,1.2,1.2,0.35,2.6,35.068,36.555,0.0,9.538,19.315,0.75
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,180.0,stone,0.45,gi_sheet,0.002,mineral_wool,0.1,south,0.6,1.5,0.65,5.8,34.544,35.95,0.0,9.526,17.569,0.5774
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,180.0,plywood,0.019,gi_sheet,0.002,none,0.0,south,1.2,0.6,0.75,1.2,41.827,56.539,0.131,9.87,19.508,0.375
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,180.0,gi_sheet,0.002,concrete,0.1,eps,0.05,south,0.9,1.2,0.85,1.2,37.415,41.973,0.0357,9.708,21.548,0.9345
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,mud_brick,0.15,none,0.0,south,1.8,1.2,0.45,1.2,39.47,46.48,0.0238,9.707,22.231,0.9345
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,135.0,aerated_concrete,0.2,brick,0.23,xps,0.05,north,1.8,1.5,0.85,1.6,37.877,40.874,0.0119,9.603,23.499,0.9226
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,135.0,stone,0.15,timber,0.1,eps,0.2,west,0.9,0.6,0.75,1.6,34.619,35.928,0.0,9.565,20.738,0.8095
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,45.0,aerated_concrete,0.2,rcc_slab,0.25,xps,0.05,north,1.2,0.6,0.35,2.6,35.339,37.196,0.0119,9.589,21.377,0.8929
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,90.0,stone,0.3,stone,0.15,mineral_wool,0.05,north,1.2,0.9,0.45,1.6,35.64,37.425,0.0,9.533,18.565,0.6548
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,90.0,aerated_concrete,0.1,timber,0.1,eps,0.2,north,0.6,0.9,0.75,2.6,34.446,36.396,0.0298,9.708,23.155,0.9345
Prayagraj,25.4358,81.8463,composite,3.0,3.0,2.6,135.0,aerated_concrete,0.2,rcc_slab,0.1,xps,0.1,west,1.5,1.2,0.55,3.5,35.646,37.79,0.0238,9.626,22.126,0.9167
