site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,45.0,concrete,0.1,aerated_concrete,0.2,mineral_wool,0.15,north,0.9,0.6,0.75,1.6,32.436,34.681,0.2976,19.745,26.438,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,135.0,aerated_concrete,0.2,aerated_concrete,0.2,mineral_wool,0.15,east,0.6,1.5,0.45,2.6,32.04,34.246,0.4524,19.767,27.696,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.05,timber,0.1,mineral_wool,0.15,south,1.8,0.6,0.55,1.6,32.515,36.386,0.4345,19.852,28.902,0.8214
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.05,aerated_concrete,0.2,eps,0.05,north,0.9,1.5,0.55,2.6,32.953,37.08,0.3988,19.845,28.072,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,0.0,aerated_concrete,0.1,aerated_concrete,0.2,xps,0.05,west,1.5,1.5,0.35,3.5,33.714,38.951,0.2857,19.796,28.027,0.9286
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,45.0,concrete,0.3,timber,0.1,mineral_wool,0.15,west,0.9,0.6,0.35,3.5,31.359,33.121,0.5833,19.72,25.16,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,135.0,brick,0.345,timber,0.15,xps,0.05,west,1.5,1.2,0.75,2.0,33.035,35.356,0.25,19.721,26.116,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,90.0,rammed_earth,0.15,brick,0.115,none,0.0,north,1.2,1.2,0.35,5.8,36.189,42.652,0.125,19.74,27.605,0.8571
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,0.0,mud_brick,0.3,aerated_concrete,0.1,mineral_wool,0.05,north,1.8,1.2,0.75,3.5,33.306,35.823,0.2202,19.725,26.45,1.0
Pune,18.5204,73.8567,temperate,3.0,3.0,2.6,0.0,stone,0.15,stone,0.3,eps,0.05,south,1.5,0.6,0.85,3.5,33.068,35.544,0.244,19.723,27.304,1.0
