site,latitude,longitude,zone,length_m,width_m,height_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,insulation_material,insulation_thickness_m,window_wall,window_width_m,window_height_m,window_shgc,window_u_w_m2k,hot_mean_c,hot_max_c,hot_comfort_fraction,cold_min_c,cold_mean_c,cold_comfort_fraction
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,90.0,stone,0.15,gi_sheet,0.002,eps,0.025,west,1.2,0.9,0.65,5.8,25.362,29.781,1.0,-1.737,6.136,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,concrete,0.15,puf_sandwich_panel,0.05,none,0.0,south,1.8,1.2,0.35,3.5,27.547,35.431,0.8512,-1.726,5.379,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,45.0,rammed_earth,0.45,puf_sandwich_panel,0.05,sheep_wool,0.1,north,1.2,0.9,0.85,1.2,22.435,23.847,1.0,-1.766,6.539,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,stone,0.45,concrete,0.15,eps,0.025,east,1.8,0.9,0.55,5.8,24.879,27.486,1.0,-1.778,5.222,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,stone,0.15,stone,0.15,eps,0.05,east,0.9,1.2,0.65,1.2,24.649,27.99,1.0,-1.749,7.538,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,puf_sandwich_panel,0.075,aerated_concrete,0.2,none,0.0,west,0.9,1.5,0.45,2.6,23.281,28.647,1.0,-1.527,9.292,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,90.0,stone,0.15,stone,0.3,mineral_wool,0.15,south,1.2,1.5,0.65,1.2,24.091,26.669,1.0,-1.758,8.272,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,mud_brick,0.3,timber,0.1,mineral_wool,0.05,south,1.5,1.2,0.35,2.6,23.615,26.103,1.0,-1.754,6.942,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.15,aerated_concrete,0.2,mineral_wool,0.05,west,1.8,0.9,0.45,2.0,22.219,26.061,1.0,-1.543,9.919,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,0.0,aerated_concrete,0.3,timber,0.15,eps,0.1,south,0.6,0.9,0.35,1.2,21.731,23.871,1.0,-1.695,9.462,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,45.0,aerated_concrete,0.2,brick,0.115,eps,0.025,south,1.2,1.2,0.35,5.8,24.582,29.497,1.0,-1.683,8.527,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,gi_sheet,0.002,rcc_slab,0.15,mineral_wool,0.05,east,1.8,0.9,0.35,3.5,24.763,30.705,1.0,-1.645,7.813,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,plywood,0.019,concrete,0.1,mineral_wool,0.05,east,0.6,1.5,0.65,5.8,24.517,30.737,1.0,-1.606,8.952,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,45.0,brick,0.115,stone,0.3,mineral_wool,0.1,east,0.6,1.5,0.45,2.0,23.047,25.362,1.0,-1.744,7.728,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,aerated_concrete,0.3,puf_sandwich_panel,0.075,sheep_wool,0.15,north,0.6,0.9,0.35,1.6,21.329,23.285,1.0,-1.684,9.658,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,timber,0.15,brick,0.23,none,0.0,south,0.9,0.6,0.55,1.2,26.017,31.912,1.0,-1.7,7.7,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,timber,0.1,timber,0.15,sheep_wool,0.15,south,0.6,0.9,0.35,5.8,21.955,25.087,1.0,-1.622,9.05,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,45.0,timber,0.2,concrete,0.2,sheep_wool,0.15,north,0.9,0.6,0.85,5.8,22.067,24.202,1.0,-1.712,8.577,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,rammed_earth,0.3,brick,0.23,sheep_wool,0.05,west,1.5,1.5,0.65,5.8,24.364,27.199,1.0,-1.758,6.13,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,0.0,rammed_earth,0.45,puf_sandwich_panel,0.05,mineral_wool,0.05,north,1.8,1.2,0.55,2.0,23.196,25.049,1.0,-1.765,6.467,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,mud_brick,0.45,timber,0.15,eps,0.2,north,1.2,1.2,0.35,5.8,21.811,22.942,1.0,-1.768,6.074,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,90.0,stone,0.45,brick,0.23,xps,0.05,east,1.2,0.6,0.55,1.2,22.76,24.227,1.0,-1.779,5.174,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,45.0,puf_sandwich_panel,0.1,brick,0.23,eps,0.2,west,1.2,0.9,0.85,2.6,22.765,26.116,1.0,-1.659,10.163,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,180.0,stone,0.45,brick,0.23,eps,0.15,north,1.5,0.6,0.55,5.8,21.969,23.035,1.0,-1.779,5.193,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,puf_sandwich_panel,0.1,puf_sandwich_panel,0.15,sheep_wool,0.15,west,1.8,1.2,0.65,2.0,22.546,27.263,1.0,-1.428,10.498,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,0.0,timber,0.15,stone,0.15,mineral_wool,0.05,east,1.8,1.2,0.35,1.2,23.561,27.074,1.0,-1.695,8.792,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,stone,0.15,concrete,0.15,eps,0.05,south,0.9,0.6,0.65,1.6,24.072,27.06,1.0,-1.748,6.699,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,0.0,mud_brick,0.15,stone,0.3,sheep_wool,0.15,north,0.9,1.5,0.35,3.5,22.567,24.48,1.0,-1.749,7.291,0.0
Srinagar,34.0837,74.7973,cold,3.0,3.0,2.6,135.0,rammed_earth,0.3,stone,0.15,eps,0.05,west,0.6,1.5,0.85,5.8,23.609,25.963,1.0,-1.759,6.369,0.0
