,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-12-09 00:00:00+05:30,15.966961597419674,15.93,0.0,390.46775035928385,-0.579483924345637,100.0,489.8882664349382
2024-12-09 01:00:00+05:30,16.12416738120643,15.545,0.0,323.43725537515627,-9.08018620255441,100.0,414.3570691726018
2024-12-09 02:00:00+05:30,16.28720107845518,14.865,0.0,222.41807370853326,-22.297268508020267,100.0,300.12080520051296
2024-12-09 03:00:00+05:30,16.405812257345676,14.475000000000001,0.0,160.67561579955705,-30.271274570665536,100.0,230.40434122889152
2024-12-09 04:00:00+05:30,16.50107011114982,14.229999999999999,0.0,118.74460382170757,-35.60583720260688,100.0,183.1387666191007
2024-12-09 05:00:00+05:30,16.57293561214731,13.85,0.0,65.20883416386613,-42.69018452724555,100.0,122.51864963662058
2024-12-09 06:00:00+05:30,16.619743813150645,13.5,25.150873347827723,37.61887898338299,-48.911343502575846,100.0,113.85840882863488
2024-12-09 07:00:00+05:30,16.71679010629509,14.295000000000002,300.9074145608922,288.2821144850085,-37.96882528649439,100.0,651.2207037594063
2024-12-09 08:00:00+05:30,17.185529771260416,16.24,721.5007919825171,711.7810308332569,-14.824015753820804,100.0,1518.4578070619534
2024-12-09 09:00:00+05:30,18.005063371539528,19.45,1006.0457268375876,1148.633980598904,22.65371646100326,100.0,2277.333423897495
2024-12-09 10:00:00+05:30,19.163395803901462,22.72,1268.6927964165764,1509.8478330775815,55.76044058643283,100.0,2934.301070080591
2024-12-09 11:00:00+05:30,20.533434063479884,24.41,1215.7352175246328,1477.7832252691849,60.776800752762405,100.0,2854.29524354658
2024-12-09 12:00:00+05:30,21.715295367212168,25.345,1040.9891021104302,1317.0748896865032,56.90650923284761,100.0,2514.970501029781
2024-12-09 13:00:00+05:30,22.819509536785105,25.74,941.409836758135,1127.6582658069049,45.787449482283144,100.0,2214.8555520473233
2024-12-09 14:00:00+05:30,23.70439573036708,25.525000000000002,677.8574997712007,790.1626738126943,28.54343373930499,100.0,1596.5636073232
2024-12-09 15:00:00+05:30,24.292103946228107,24.435000000000002,386.0315884446198,368.2549568966197,2.2403243310357444,100.0,856.5268696722752
2024-12-09 16:00:00+05:30,24.52384201499986,21.64,131.02775875755808,-168.3716746766927,-45.21287511116787,100.0,17.44320896969752
2024-12-09 17:00:00+05:30,24.39387298547309,18.635,15.089038260242688,-571.8806881594082,-90.28761066624712,100.0,-547.0792605654127
2024-12-09 18:00:00+05:30,24.10583382158511,17.209999999999997,0.0,-699.3626150729655,-108.11288265481143,100.0,-707.4754977277768
2024-12-09 19:00:00+05:30,23.779511198092536,16.444999999999997,0.0,-735.7570051670699,-114.99046656369484,100.0,-750.7474717307647
2024-12-09 20:00:00+05:30,23.435578448721568,15.704999999999998,0.0,-766.6769732748103,-121.20000891905676,100.0,-787.8769821938671
2024-12-09 21:00:00+05:30,23.07501951571619,14.945,0.0,-797.3216225723828,-127.46244596739841,100.0,-824.7840685397813
2024-12-09 22:00:00+05:30,22.697931179176603,14.165,0.0,-827.705620419893,-133.77929502713076,100.0,-861.4849154470236
2024-12-09 23:00:00+05:30,22.304260231801525,13.35,0.0,-859.5042308374503,-140.38489191418435,100.0,-899.8891227516347
2024-12-10 00:00:00+05:30,21.892797900293704,12.495,0.0,-893.0953692933554,-147.3386754808047,100.0,-940.43404477416
2024-12-10 01:00:00+05:30,21.463416837688687,11.655000000000001,0.0,-922.2875340850313,-153.77635918128325,100.0,-976.0638932663146
2024-12-10 02:00:00+05:30,21.019992051899504,10.88,0.0,-942.0569035406857,-158.97479538968045,100.0,-1001.031698930366
2024-12-10 03:00:00+05:30,20.567016857746406,10.139999999999999,0.0,-956.4511106600304,-163.4747702957482,100.0,-1019.9258809557787
2024-12-10 04:00:00+05:30,20.1061540578015,9.435,0.0,-965.7221589443849,-167.3023533182119,100.0,-1033.0245122625968
2024-12-10 05:00:00+05:30,19.64114354892276,8.790000000000001,0.0,-967.6312964580985,-170.12422856001103,100.0,-1037.7555250181097
2024-12-10 06:00:00+05:30,19.18132538368516,8.415000000000001,30.564326065074283,-917.2032697245623,-168.79444936541594,100.0,-955.433393024904
2024-12-10 07:00:00+05:30,18.84461115703285,9.44,531.234709039542,-454.9413265733836,-147.44549371996104,100.0,28.84788874619727
2024-12-10 08:00:00+05:30,19.14480464431331,11.714999999999998,1136.6925473347692,125.01868768792811,-116.48447721354411,100.0,1245.2267578091532
2024-12-10 09:00:00+05:30,19.840057129097243,14.885,1456.1718691948092,582.5157280396372,-77.68538566998657,100.0,2061.00221156446
2024-12-10 10:00:00+05:30,20.928902563516612,18.935,1740.3301553718509,1036.6260308906603,-31.260404390813402,100.0,2845.695781871698
2024-12-10 11:00:00+05:30,22.287163803851783,21.709999999999997,1752.0205430296485,1157.5671968293418,-9.04877411678823,100.0,3000.538965742202
2024-12-10 12:00:00+05:30,23.58291935102238,22.855,1631.4203443466242,1039.031235786366,-11.412319585328843,100.0,2759.0392605476613
2024-12-10 13:00:00+05:30,24.77403820033715,23.465,1468.165144164377,852.1418690796974,-20.523100904885847,100.0,2399.783912339188
2024-12-10 14:00:00+05:30,25.740105656584745,23.445000000000004,1119.5324889705246,510.6988697551412,-35.98266648393561,100.0,1694.2486922417302
2024-12-10 15:00:00+05:30,26.33003131002553,22.435000000000002,658.5175463052225,15.401716837677071,-61.06630087858022,100.0,712.8529622643192
2024-12-10 16:00:00+05:30,26.44826181562995,19.69,230.40852911509012,-607.7839234104885,-105.9560287454464,100.0,-383.3314230408448
2024-12-10 17:00:00+05:30,26.103010028971813,16.77,22.838579470334377,-1034.4740881750265,-146.32293123422008,100.0,-1057.958439938912
2024-12-10 18:00:00+05:30,25.588371468458618,15.205,0.0,-1149.051153378484,-162.79049788249424,100.0,-1211.8416512609786
2024-12-10 19:00:00+05:30,25.034642384319977,14.12,0.0,-1186.8922974979657,-171.1197633013686,100.0,-1258.0120607993342
2024-12-10 20:00:00+05:30,24.464120813560726,13.19,0.0,-1204.7940950139953,-176.75566611500508,100.0,-1281.5497611290004
2024-12-10 21:00:00+05:30,23.887306887151922,12.410000000000002,0.0,-1204.9089864778414,-179.9412173767678,100.0,-1284.8502038546092
2024-12-10 22:00:00+05:30,23.311451482184353,11.705,0.0,-1196.7525063365956,-181.9659463376863,100.0,-1278.718452674282
2024-12-10 23:00:00+05:30,22.738922303979624,11.024999999999999,0.0,-1186.2945811209502,-183.65087388179256,100.0,-1269.9454550027426
2024-12-11 00:00:00+05:30,22.170871555067944,10.385,0.0,-1172.0265033523035,-184.77889424035524,100.0,-1256.8053975926587
2024-12-11 01:00:00+05:30,21.609854662052275,9.795,0.0,-1153.213338287912,-185.2332913916556,100.0,-1238.4466296795674
2024-12-11 02:00:00+05:30,21.057481199657346,9.215,0.0,-1134.587896620872,-185.66642024822792,100.0,-1220.2543168690997
2024-12-11 03:00:00+05:30,20.51236232273119,8.595,0.0,-1121.5507866187788,-186.84040649577958,100.0,-1208.3911931145583
2024-12-11 04:00:00+05:30,19.971088852504298,7.925,0.0,-1114.707553920201,-188.8585810295624,100.0,-1203.5661349497634
2024-12-11 05:00:00+05:30,19.431116640111444,7.23,0.0,-1110.867077648481,-191.28910668366723,100.0,-1202.156184332148
2024-12-11 06:00:00+05:30,18.89913532886164,6.830000000000001,36.15962603122061,-1048.1296819809534,-189.21990368589277,100.0,-1101.1899596356254
2024-12-11 07:00:00+05:30,18.52614288451928,7.82,754.3523771369578,-467.4067776246446,-167.85090814349329,100.0,219.09469136881992
2024-12-11 08:00:00+05:30,19.00380756091899,10.31,1565.2451238473939,212.74292282054998,-136.3015149400879,100.0,1741.686531727856
2024-12-11 09:00:00+05:30,19.917639701079214,14.084999999999999,1829.023927887759,665.8733193234365,-91.4441252335199,100.0,2503.453121977676
2024-12-11 10:00:00+05:30,21.182263663079727,18.31,2023.0093527779245,1059.25187669383,-45.03134970976394,100.0,3137.229879761991
2024-12-11 11:00:00+05:30,22.645171147944865,20.915000000000003,2030.6516201522218,1126.9268325532978,-27.12562325747955,100.0,3230.45282944804
2024-12-11 12:00:00+05:30,24.050763901978797,22.03,1922.9675906313978,986.5323052478707,-31.68153645522357,100.0,2977.818359424045
2024-12-11 13:00:00+05:30,25.326999275158588,22.575000000000003,1734.3308223145914,780.90928788348,-43.145844635936356,100.0,2572.094265562135
2024-12-11 14:00:00+05:30,26.366525718048653,22.515,1356.634920627004,429.36425616652735,-60.38422020756676,100.0,1825.6149565859644
2024-12-11 15:00:00+05:30,26.996840552101677,21.540000000000003,797.2112116682256,-106.75628907489211,-85.55234617585012,100.0,704.9025764174834
2024-12-11 16:00:00+05:30,27.078379051733986,18.85,267.6623911135929,-772.8788650084929,-129.00452677308542,100.0,-534.2210006679853
2024-12-11 17:00:00+05:30,26.652774515653437,15.93,26.1090458687777,-1209.6490133286013,-168.11165885641458,100.0,-1251.6516263162382
2024-12-11 18:00:00+05:30,26.050963318570037,14.295,0.0,-1321.2804386915807,-184.30999290854106,100.0,-1405.5904316001217
2024-12-11 19:00:00+05:30,25.410673646120745,13.12,0.0,-1356.1029918322802,-192.6931814238811,100.0,-1448.7961732561614
2024-12-11 20:00:00+05:30,24.754875546519102,12.07,0.0,-1374.5474575814553,-198.87347881832648,100.0,-1473.4209363997818
2024-12-11 21:00:00+05:30,24.091001588168808,11.15,0.0,-1377.1791582217165,-202.8890228993106,100.0,-1480.068181121027
2024-12-11 22:00:00+05:30,23.42785694066976,10.375,0.0,-1363.6492199969941,-204.64269111582053,100.0,-1468.2919111128147
