,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-05-27 00:00:00+05:30,34.48254116108222,34.5,0.0,-331.67281842996454,0.2737196765529983,100.0,-231.39909875341155
2024-05-27 01:00:00+05:30,34.403073534723035,34.135,0.0,-360.59019959478707,-4.202856877387734,100.0,-264.7930564721748
2024-05-27 02:00:00+05:30,34.27101574288114,33.440000000000005,0.0,-418.57056961107946,-13.028664816890474,100.0,-331.5992344279699
2024-05-27 03:00:00+05:30,34.111631869196735,32.824999999999996,0.0,-463.43182896288,-20.17181444526639,100.0,-383.6036434081464
2024-05-27 04:00:00+05:30,33.931785310609364,32.305,0.0,-494.5308215076339,-25.50474009973357,100.0,-420.0355616073675
2024-05-27 05:00:00+05:30,33.754252335782105,32.485,77.5648457807034,-389.50291192689843,-19.899338120391803,100.0,-231.83740426658684
2024-05-27 06:00:00+05:30,33.75074760189659,34.11,372.0622601298525,43.896344733694946,5.632359097465226,100.0,521.5909639610127
2024-05-27 07:00:00+05:30,34.18704184400021,37.07,784.3873873397321,670.8458532862422,45.19901796976461,100.0,1600.432258595739
2024-05-27 08:00:00+05:30,35.08772545965036,39.945,1130.105056666767,1159.528815793091,76.15235024360169,100.0,2465.7862227034598
2024-05-27 09:00:00+05:30,36.30607923425075,41.855,1369.8076618309199,1398.6212086564801,86.99597976541664,100.0,2955.424850252817
2024-05-27 10:00:00+05:30,37.68365485912813,43.245000000000005,1528.4814939632258,1460.734050751725,87.1907691185891,100.0,3176.406313833539
2024-05-27 11:00:00+05:30,39.12560877162803,44.27,1614.9270867044945,1395.2710999530293,80.65376567841568,100.0,3190.8519523359396
2024-05-27 12:00:00+05:30,40.53658928148856,44.995,1629.4932564367857,1255.5115276058798,69.89896324482231,100.0,3054.903747287488
2024-05-27 13:00:00+05:30,41.87306112161112,45.47,1598.9234927395858,1082.5917551702003,56.392807735380806,100.0,2837.9080556451668
2024-05-27 14:00:00+05:30,43.08842048435391,45.574999999999996,1484.08454197197,821.965570962815,38.98459364629937,100.0,2445.0347065810847
2024-05-27 15:00:00+05:30,44.08224751276396,45.305,1258.6284385330487,446.5551436486283,19.170313494886596,100.0,1824.3538956765635
2024-05-27 16:00:00+05:30,44.75697917214206,44.699999999999996,898.6143446493492,-34.651943788241816,-0.8933194608432465,100.0,963.069081400264
2024-05-27 17:00:00+05:30,45.00450493222315,43.629999999999995,448.2999916818689,-557.8204522443604,-21.549488327394624,100.0,-31.06994888988614
2024-05-27 18:00:00+05:30,44.8218616840872,41.910000000000004,109.6979507924032,-984.5632039301358,-45.65216748311923,100.0,-820.5174206208518
2024-05-27 19:00:00+05:30,44.36003770720517,39.915,0.0,-1220.9603789239766,-69.68930117356268,100.0,-1190.6496800975394
2024-05-27 20:00:00+05:30,43.80021495070678,38.309999999999995,0.0,-1316.2333685848491,-86.07558999718096,100.0,-1302.30895858203
2024-05-27 21:00:00+05:30,43.20421822632641,37.169999999999995,0.0,-1353.8409069446225,-94.60447335234544,100.0,-1348.4453802969679
2024-05-27 22:00:00+05:30,42.595187683381596,36.24,0.0,-1365.9065360629345,-99.6366325000567,100.0,-1365.5431685629912
2024-05-27 23:00:00+05:30,41.98008170037296,35.365,0.0,-1370.8792093238826,-103.71125089844735,100.0,-1374.59046022233
2024-05-28 00:00:00+05:30,41.36231082963329,34.55,0.0,-1368.714698514281,-106.80340918699069,100.0,-1375.518107701272
2024-05-28 01:00:00+05:30,40.74564038085324,33.79,0.0,-1360.5447586440812,-109.05052989101715,100.0,-1369.5952885350982
2024-05-28 02:00:00+05:30,40.13253583195921,33.074999999999996,0.0,-1347.8652599647928,-110.64804677345643,100.0,-1358.5133067382492
2024-05-28 03:00:00+05:30,39.525286704904836,32.395,0.0,-1332.1454059895261,-111.78863495949805,100.0,-1343.9340409490242
2024-05-28 04:00:00+05:30,38.92499475388945,31.75,0.0,-1313.5521713913279,-112.48956775147873,100.0,-1326.0417391428066
2024-05-28 05:00:00+05:30,38.35567147793465,32.085,100.99516438894112,-1114.2558962089945,-98.31158743105948,100.0,-1011.5723192511128
2024-05-28 06:00:00+05:30,38.044256993417285,34.1,474.08921855691034,-504.61842116065867,-61.83806114279622,100.0,7.632736253455467
2024-05-28 07:00:00+05:30,38.297637679918175,37.61,905.1997969084532,246.230544867443,-10.780783545757119,100.0,1240.649558230139
2024-05-28 08:00:00+05:30,39.03915588926674,41.505,1197.2807044242436,821.3357871842824,38.65950396807606,100.0,2157.275995576602
2024-05-28 09:00:00+05:30,40.13695307392247,44.185,1414.4543459348297,1140.535903464696,63.46527970704349,100.0,2718.455529106569
