trial,tpi,insulation_material,insulation_thickness_m,orientation_deg,wall_material,wall_thickness_m,roof_material,roof_thickness_m,window_wall,window_width_m,window_height_m,window_shgc
3,0.5298126847866389,mineral_wool,0.062329812682755795,105,puf_sandwich_panel,0.12989856148457543,puf_sandwich_panel,0.1392554715637269,south,0.7345721042554076,1.1454872878846463,0.47289578959197964
13,0.5290600530159593,mineral_wool,0.04159851676788978,180,puf_sandwich_panel,0.12948735552987056,puf_sandwich_panel,0.1574373218244608,east,1.2842364333866065,0.8775077015275936,0.4334339552312357
12,0.5286858689155107,mineral_wool,0.03533961383269607,150,puf_sandwich_panel,0.1374555501919276,puf_sandwich_panel,0.1507205132405698,east,1.1509545108407866,0.9918472258292503,0.43457856095471814
14,0.5069723307331077,mineral_wool,0.0425589464363829,255,puf_sandwich_panel,0.1286905824653636,puf_sandwich_panel,0.1659435890461528,south,1.790364953706669,0.8677718388885911,0.4295640129895889
0,0.5057343347158128,eps,0.015601864044243652,45,puf_sandwich_panel,0.15308477766956904,puf_sandwich_panel,0.1318334022370539,east,1.1029980276230609,1.019248988951925,0.7318467787661576
4,0.4031224155043188,eps,0.07555511385430487,75,rammed_earth,0.30091801922477857,timber,0.1875309559908192,north,1.5998162425147424,1.3025114082794405,0.30382367179215486
10,0.37365858606435287,mineral_wool,0.047332732145466856,315,brick,0.24710873517962928,timber,0.15852518273249042,south,1.2441087315642596,0.7086178186954564,0.3156630601269844
15,0.3412339281092549,mineral_wool,0.05892928725722946,210,rammed_earth,0.19430832865016745,puf_sandwich_panel,0.10438099136338624,east,0.7103994531819313,0.8556424498307894,0.513977844170982
7,0.30532735767085195,mineral_wool,0.0877339353380981,75,gi_sheet,0.3251045142908326,puf_sandwich_panel,0.18765323119430927,south,0.8777915855040751,1.3289879319689555,0.6335359828127745
2,0.2950587267878153,none,,15,puf_sandwich_panel,0.17023362742184517,gi_sheet,0.1984264323920621,north,1.4775430782323788,1.210305017628691,0.7241986906772702
16,0.29109278945726214,mineral_wool,0.032329180414759254,135,timber,0.22213720071976997,gi_sheet,0.14427479722588632,east,1.3215593467189803,1.2198030841168823,0.38457193449683075
5,0.2698355863510342,none,,105,puf_sandwich_panel,0.16294557395634102,rcc_slab,0.15314772007758765,north,0.9635180797336697,0.8014264104638561,0.5691990181526596
9,0.26270905796677224,eps,0.07224521152615053,90,timber,0.10386415413221686,gi_sheet,0.18236113465608322,west,0.8864420213547017,1.089760883720845,0.8148851257884295
6,0.22470842360996768,none,,75,gi_sheet,0.18019501624293394,puf_sandwich_panel,0.08199053947134274,west,1.4600315119127125,0.9707147424103761,0.8152014938052041
8,0.2080349204571812,xps,0.016080805141749865,180,gi_sheet,0.26240822476180364,rcc_slab,0.12412589636713203,west,1.6812512106948247,1.141797038198084,0.7371462169479066
18,0.20523461696508916,mineral_wool,0.056797162524080805,120,brick,0.14417619816158708,timber,0.142082307825688,east,1.3801732181270565,0.9024773015703196,0.36992911310487975
1,0.1927276329270906,xps,0.06075448519014384,45,stone,0.2100381234349003,puf_sandwich_panel,0.11105359779200204,south,0.9033399010780797,1.378709239435191,0.7263230528486131
11,0.06059088397524748,eps,0.0028705504217280964,165,concrete,0.10396833461041272,puf_sandwich_panel,0.13099116830931495,east,0.7054579042737922,0.982663600444589,0.4657292385185796
19,0.025472416800514264,xps,0.07319169427828806,285,stone,0.10011249519503446,puf_sandwich_panel,0.11395440183611596,south,1.2167963177027974,1.0903497383871672,0.5084867632229296
17,-0.0012378641538832724,mineral_wool,0.09680314890460402,225,concrete,0.12494452981786217,rcc_slab,0.16853548573098523,south,1.033141212526375,0.7249390588499026,0.5636442475646336
